Start Time (s), Start Freq (MHz), Duration, Bandwidth (MHz)
8.0208e-06,-98.993664405478,9.52802381897579e-05,9.91936516062972
8.0208e-06,-88.4343402022271,0.000111160277888051,0.639959042621272
8.0208e-06,-87.7143862792781,7.94001984914649e-05,0.79994880327659
8.0208e-06,-87.2344169973122,0.000111160277888051,1.91987712786382
8.0208e-06,-85.2745424292845,7.94001984914649e-05,0.599961602457443
8.0208e-06,-83.994624344042,3.1760079396586e-05,1.15992576475106
8.0208e-06,-80.7548316907718,0.000127040317586344,14.1990912581595
8.0208e-06,26.5583002687828,0.08000364,268.382823499296
0.000150941157284637,-138.231153206195,0.00155624389043271,166.429348521695
0.000150941157284637,-87.1944195571483,6.35201587931719e-05,1.19992320491489
0.000150941157284637,-85.9145014719058,0.000111160277888051,0.83994624344042
0.000198581276379516,-85.3545373096122,0.000142920357284637,0.759951363112761
0.000214461316077809,-89.1942915653398,0.000111160277888051,1.43990784589786
0.000214461316077809,-84.6345833866633,9.52802381897579e-05,0.439971841802125
0.000277981474870981,-80.9548188915909,0.000142920357284637,1.23992064507872
0.000293861514569274,-89.6342634071419,9.52802381897579e-05,0.919941123768079
0.000341501633664153,-86.2744784333803,7.94001984914649e-05,0.759951363112761
0.000484421990948789,-86.1144886727249,0.000111160277888051,1.63989504671701
0.000532062110043668,-84.1546141046973,7.94001984914649e-05,2.75982337130424
0.000579702229138547,-85.154550108793,7.94001984914649e-05,0.479969281965954
0.00059558226883684,-80.7548316907718,9.52802381897579e-05,0.639959042621272
0.000643222387931719,-89.8342506079611,9.52802381897579e-05,1.03993344425957
0.000674982467328305,-39.6774606425189,4.76401190948789e-05,0.759951363112761
0.000833782864311235,-80.7948291309356,7.94001984914649e-05,1.0799308844234
0.000849662904009528,-88.3143478817356,9.52802381897579e-05,0.599961602457443
0.0009131830628027,-89.8342506079611,0.000142920357284637,1.63989504671701
0.00108786349948392,-99.3136439267887,0.000968682421595872,15.3990144630744
0.00108786349948392,-89.9142454882887,4.76401190948789e-05,0.599961602457443
0.00108786349948392,-88.4743376423909,0.000111160277888051,1.7598873672085
0.00110374353918222,-86.9544349161654,0.000142920357284637,1.15992576475106
0.00116726369797539,-85.394534749776,6.35201587931719e-05,0.999936004095738
0.00126254393616515,-38.6775246384231,4.76401190948789e-05,0.83994624344042
0.00127842397586344,-83.8746320235505,6.35201587931719e-05,1.03993344425957
0.00127842397586344,16.6389351081531,3.1760079396586e-05,3.03980545245104
